fare_scope,operator,matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,day_type,time_period,published_fare_hkd,currency,fare_amount_role,cost_component,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,source_record_id,source_record_ids_json,source_file,source_sha256,candidate_count,distinct_amount_count,record_status,candidate_records_json,mapping_status,mapping_quality,cost_quality,cost_applicability_status,matching_method,unresolved_reason
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20000704,20002012,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779338|fare_attributes.txt:856693|fare_id:2001005-1-7-26"",""gtfs:fare_rules.txt:779538|fare_attributes.txt:778273|fare_id:2001005-1-23-26""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":856693,""fare_id"":""2001005-1-7-26"",""fare_rule_line"":779338,""price"":6.2},{""fare_attribute_line"":778273,""fare_id"":""2001005-1-23-26"",""fare_rule_line"":779538,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20000704,20006055,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779337|fare_attributes.txt:856692|fare_id:2001005-1-7-25"",""gtfs:fare_rules.txt:779537|fare_attributes.txt:778272|fare_id:2001005-1-23-25""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":856692,""fare_id"":""2001005-1-7-25"",""fare_rule_line"":779337,""price"":6.2},{""fare_attribute_line"":778272,""fare_id"":""2001005-1-23-25"",""fare_rule_line"":779537,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20000733,20000704,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779204|fare_attributes.txt:778203|fare_id:2001005-1-2-7"",""gtfs:fare_rules.txt:779220|fare_attributes.txt:855922|fare_id:2001005-1-2-23""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":778203,""fare_id"":""2001005-1-2-7"",""fare_rule_line"":779204,""price"":6.2},{""fare_attribute_line"":855922,""fare_id"":""2001005-1-2-23"",""fare_rule_line"":779220,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20000772,20000704,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779253|fare_attributes.txt:778915|fare_id:2001005-1-4-7"",""gtfs:fare_rules.txt:779269|fare_attributes.txt:856645|fare_id:2001005-1-4-23""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":778915,""fare_id"":""2001005-1-4-7"",""fare_rule_line"":779253,""price"":6.2},{""fare_attribute_line"":856645,""fare_id"":""2001005-1-4-23"",""fare_rule_line"":779269,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20006061,20000704,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779276|fare_attributes.txt:778923|fare_id:2001005-1-5-7"",""gtfs:fare_rules.txt:779292|fare_attributes.txt:856660|fare_id:2001005-1-5-23""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":778923,""fare_id"":""2001005-1-5-7"",""fare_rule_line"":779276,""price"":6.2},{""fare_attribute_line"":856660,""fare_id"":""2001005-1-5-23"",""fare_rule_line"":779292,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20006062,20000704,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779298|fare_attributes.txt:778930|fare_id:2001005-1-6-7"",""gtfs:fare_rules.txt:779314|fare_attributes.txt:856675|fare_id:2001005-1-6-23""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":778930,""fare_id"":""2001005-1-6-7"",""fare_rule_line"":779298,""price"":6.2},{""fare_attribute_line"":856675,""fare_id"":""2001005-1-6-23"",""fare_rule_line"":779314,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001005,gmb_2001005_1,2001005,1,1,20008189,20000704,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779229|fare_attributes.txt:778906|fare_id:2001005-1-3-7"",""gtfs:fare_rules.txt:779245|fare_attributes.txt:856630|fare_id:2001005-1-3-23""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":778906,""fare_id"":""2001005-1-3-7"",""fare_rule_line"":779229,""price"":6.2},{""fare_attribute_line"":856630,""fare_id"":""2001005-1-3-23"",""fare_rule_line"":779245,""price"":6.2}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001012,gmb_2001012_1,2001012,1,1,20001327,20001333,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779804|fare_attributes.txt:779106|fare_id:2001012-1-1-3"",""gtfs:fare_rules.txt:779816|fare_attributes.txt:856011|fare_id:2001012-1-1-15""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":779106,""fare_id"":""2001012-1-1-3"",""fare_rule_line"":779804,""price"":5.8},{""fare_attribute_line"":856011,""fare_id"":""2001012-1-1-15"",""fare_rule_line"":779816,""price"":5.8}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001012,gmb_2001012_1,2001012,1,1,20001333,20001327,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779847|fare_attributes.txt:856722|fare_id:2001012-1-3-17"",""gtfs:fare_rules.txt:779937|fare_attributes.txt:779175|fare_id:2001012-1-15-17""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":856722,""fare_id"":""2001012-1-3-17"",""fare_rule_line"":779847,""price"":5.8},{""fare_attribute_line"":779175,""fare_id"":""2001012-1-15-17"",""fare_rule_line"":779937,""price"":5.8}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001012,gmb_2001012_1,2001012,1,1,20001333,20007762,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779846|fare_attributes.txt:856721|fare_id:2001012-1-3-16"",""gtfs:fare_rules.txt:779936|fare_attributes.txt:779174|fare_id:2001012-1-15-16""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":856721,""fare_id"":""2001012-1-3-16"",""fare_rule_line"":779846,""price"":5.8},{""fare_attribute_line"":779174,""fare_id"":""2001012-1-15-16"",""fare_rule_line"":779936,""price"":5.8}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001012,gmb_2001012_1,2001012,1,1,20005037,20001333,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:779819|fare_attributes.txt:779113|fare_id:2001012-1-2-3"",""gtfs:fare_rules.txt:779831|fare_attributes.txt:856019|fare_id:2001012-1-2-15""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":779113,""fare_id"":""2001012-1-2-3"",""fare_rule_line"":779819,""price"":5.8},{""fare_attribute_line"":856019,""fare_id"":""2001012-1-2-15"",""fare_rule_line"":779831,""price"":5.8}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001128,gmb_2001128_1,2001128,1,1,20002183,20002187,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:781235|fare_attributes.txt:779800|fare_id:2001128-1-4-5"",""gtfs:fare_rules.txt:781420|fare_attributes.txt:780678|fare_id:2001128-2-14-15""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":779800,""fare_id"":""2001128-1-4-5"",""fare_rule_line"":781235,""price"":8.1},{""fare_attribute_line"":780678,""fare_id"":""2001128-2-14-15"",""fare_rule_line"":781420,""price"":8.1}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001128,gmb_2001128_1,2001128,1,1,20004533,20002183,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:781224|fare_attributes.txt:780581|fare_id:2001128-1-3-4"",""gtfs:fare_rules.txt:781416|fare_attributes.txt:780674|fare_id:2001128-2-13-14""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":780581,""fare_id"":""2001128-1-3-4"",""fare_rule_line"":781224,""price"":8.1},{""fare_attribute_line"":780674,""fare_id"":""2001128-2-13-14"",""fare_rule_line"":781416,""price"":8.1}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
exact_route_sequence_ordered_stop_od,GMB,line_gmb_2001128,gmb_2001128_1,2001128,1,1,20004533,20002187,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,,,,pt_fare,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,,"[""gtfs:fare_rules.txt:781225|fare_attributes.txt:780582|fare_id:2001128-1-3-5"",""gtfs:fare_rules.txt:781417|fare_attributes.txt:780675|fare_id:2001128-2-13-15""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,2,1,unresolved_duplicate_identical,"[{""fare_attribute_line"":780582,""fare_id"":""2001128-1-3-5"",""fare_rule_line"":781225,""price"":8.1},{""fare_attribute_line"":780675,""fare_id"":""2001128-2-13-15"",""fare_rule_line"":781417,""price"":8.1}]",unresolved,A,U,unresolved,official_json_routeSeq_exact_full_stop_pattern_plus_ordered_gtfs_stop_od,multiple_identical_source_records_no_default_selection
